candidate,k_kcal,window_center_A,n_frames,dist_mean_A,dist_std_A,dist_min_A,dist_max_A,angle_mean_deg
_wt_reference,60.0,2.8,50,3.229,0.096,3.065,3.497,132.1
_wt_reference,60.0,2.913,50,3.146,0.071,2.955,3.328,163.5
_wt_reference,60.0,3.026,50,3.315,0.076,3.143,3.487,109.5
_wt_reference,60.0,3.139,50,3.327,0.078,3.2,3.655,156.6
_wt_reference,60.0,3.252,50,3.448,0.086,3.236,3.701,157.2
_wt_reference,60.0,3.365,50,3.486,0.091,3.286,3.718,163.7
_wt_reference,60.0,3.478,50,3.654,0.1,3.446,3.891,144.6
_wt_reference,60.0,3.591,50,3.736,0.095,3.483,3.96,144.7
_wt_reference,60.0,3.6,50,3.764,0.093,3.576,3.984,114.1
_wt_reference,60.0,3.667,50,3.81,0.107,3.655,4.107,115.9
_wt_reference,60.0,3.704,50,3.86,0.098,3.61,4.088,88.8
_wt_reference,60.0,3.733,50,3.896,0.091,3.701,4.124,62.8
_wt_reference,60.0,3.8,50,3.918,0.087,3.664,4.131,143.0
_wt_reference,60.0,3.817,50,3.929,0.083,3.705,4.089,100.5
_wt_reference,60.0,3.867,50,3.978,0.067,3.771,4.129,136.9
_wt_reference,60.0,3.93,50,3.766,0.101,3.619,4.037,154.2
_wt_reference,60.0,4.0,50,4.122,0.065,4.0,4.27,117.3
_wt_reference,60.0,4.043,50,4.209,0.107,3.995,4.447,102.2
_wt_reference,60.0,4.067,50,4.174,0.081,3.925,4.334,120.1
_wt_reference,60.0,4.133,50,4.263,0.1,4.08,4.513,107.9
_wt_reference,60.0,4.157,50,4.289,0.096,4.102,4.471,119.4
_wt_reference,60.0,4.2,50,4.3,0.115,4.048,4.546,97.6
_wt_reference,60.0,4.27,50,4.321,0.084,4.109,4.478,136.7
_wt_reference,60.0,4.333,50,4.492,0.093,4.279,4.688,102.6
_wt_reference,60.0,4.383,50,4.488,0.095,4.265,4.693,103.7
_wt_reference,60.0,4.4,50,4.174,0.075,3.951,4.378,130.5
_wt_reference,60.0,4.459,50,4.566,0.125,4.264,4.859,161.2
_wt_reference,60.0,4.467,50,4.306,0.077,4.114,4.536,124.9
_wt_reference,60.0,4.496,50,4.616,0.07,4.447,4.746,99.0
_wt_reference,60.0,4.518,50,4.646,0.093,4.456,4.816,126.6
_wt_reference,60.0,4.533,50,4.658,0.109,4.408,4.911,102.4
_wt_reference,60.0,4.6,50,4.602,0.1,4.357,4.791,131.3
_wt_reference,60.0,4.609,50,4.734,0.106,4.545,4.977,127.0
_wt_reference,60.0,4.635,50,4.737,0.097,4.572,4.981,115.3
_wt_reference,60.0,4.694,50,4.661,0.083,4.405,4.878,149.3
_wt_reference,60.0,4.722,50,4.542,0.073,4.339,4.677,128.1
_wt_reference,60.0,4.753,50,4.829,0.109,4.537,5.043,92.4
_wt_reference,60.0,4.812,50,4.936,0.081,4.73,5.077,107.2
_wt_reference,60.0,4.835,50,4.499,0.076,4.314,4.638,121.7
_wt_reference,60.0,4.871,50,4.927,0.094,4.701,5.075,92.8
_wt_reference,60.0,4.929,50,4.927,0.101,4.695,5.148,131.4
_wt_reference,60.0,4.948,50,4.546,0.05,4.43,4.674,137.7
_wt_reference,60.0,4.988,50,5.128,0.095,4.926,5.334,106.8
_wt_reference,60.0,5.047,50,4.51,0.086,4.313,4.692,129.8
_wt_reference,60.0,5.061,50,5.149,0.095,4.858,5.33,74.9
_wt_reference,60.0,5.106,50,4.665,0.072,4.509,4.806,125.0
_wt_reference,60.0,5.165,50,5.158,0.092,4.982,5.482,151.0
_wt_reference,60.0,5.174,50,5.194,0.091,4.951,5.366,130.7
_wt_reference,60.0,5.223,50,5.274,0.103,5.051,5.553,109.1
_wt_reference,60.0,5.282,50,5.298,0.107,5.1,5.514,150.7
_wt_reference,60.0,5.287,50,5.257,0.112,5.002,5.517,122.6
_wt_reference,60.0,5.341,50,4.671,0.073,4.508,4.83,136.6
_wt_reference,60.0,5.4,50,5.521,0.079,5.348,5.674,154.8
mut_00000,60.0,2.8,50,3.281,0.084,3.068,3.469,144.3
mut_00000,60.0,2.913,50,3.195,0.071,3.024,3.377,169.8
mut_00000,60.0,3.026,50,3.237,0.073,3.091,3.469,169.9
mut_00000,60.0,3.139,50,3.278,0.062,3.136,3.411,165.2
mut_00000,60.0,3.252,50,3.433,0.082,3.255,3.591,161.5
mut_00000,60.0,3.365,50,3.509,0.085,3.288,3.74,158.4
mut_00000,60.0,3.478,50,3.564,0.079,3.37,3.743,157.8
mut_00000,60.0,3.591,50,3.681,0.094,3.524,3.898,152.6
mut_00000,60.0,3.6,50,3.786,0.092,3.571,3.99,128.8
mut_00000,60.0,3.667,50,3.814,0.083,3.638,3.978,127.6
mut_00000,60.0,3.704,50,3.683,0.084,3.524,3.867,96.2
mut_00000,60.0,3.733,50,3.92,0.096,3.733,4.182,108.3
mut_00000,60.0,3.8,50,4.009,0.093,3.797,4.237,116.7
mut_00000,60.0,3.817,50,3.774,0.087,3.607,3.992,153.8
mut_00000,60.0,3.867,50,3.962,0.107,3.74,4.183,139.1
mut_00000,60.0,3.93,50,3.843,0.091,3.653,4.123,153.0
mut_00000,60.0,4.0,50,3.878,0.071,3.735,4.11,151.7
mut_00000,60.0,4.043,50,4.246,0.07,4.066,4.411,150.1
mut_00000,60.0,4.067,50,3.967,0.089,3.778,4.153,163.5
mut_00000,60.0,4.133,50,4.142,0.09,3.917,4.293,126.4
mut_00000,60.0,4.157,50,4.075,0.062,3.908,4.228,130.0
mut_00000,60.0,4.2,50,4.381,0.081,4.108,4.543,116.8
mut_00000,60.0,4.27,50,4.143,0.08,3.914,4.321,120.2
mut_00000,60.0,4.333,50,4.357,0.078,4.158,4.528,139.1
mut_00000,60.0,4.383,50,4.401,0.066,4.244,4.536,136.5
mut_00000,60.0,4.4,50,4.563,0.102,4.319,4.832,116.7
mut_00000,60.0,4.467,50,4.59,0.101,4.367,4.784,100.5
mut_00000,60.0,4.496,50,4.38,0.145,4.063,4.631,135.8
mut_00000,60.0,4.533,50,4.655,0.103,4.475,4.919,103.8
mut_00000,60.0,4.6,50,4.72,0.1,4.506,4.997,106.3
mut_00000,60.0,4.609,50,4.432,0.233,4.042,4.88,122.5
mut_00000,60.0,4.722,50,4.631,0.055,4.471,4.758,113.0
mut_00000,60.0,4.835,50,4.553,0.092,4.386,4.711,130.4
mut_00000,60.0,4.948,50,5.015,0.096,4.794,5.299,100.4
mut_00000,60.0,5.061,50,5.005,0.195,4.442,5.307,170.3
mut_00000,60.0,5.174,50,5.244,0.083,5.029,5.422,119.8
mut_00000,60.0,5.287,50,5.365,0.08,5.216,5.53,110.2
mut_00000,60.0,5.4,50,5.392,0.088,5.238,5.61,108.4
mut_00001,60.0,2.8,50,3.202,0.063,3.069,3.336,118.3
mut_00001,60.0,2.913,50,3.184,0.073,3.045,3.338,143.8
mut_00001,60.0,3.026,50,3.309,0.084,3.124,3.539,103.7
mut_00001,60.0,3.139,50,3.337,0.061,3.207,3.509,157.6
mut_00001,60.0,3.252,50,3.431,0.097,3.196,3.608,140.3
mut_00001,60.0,3.365,50,3.548,0.073,3.375,3.718,104.6
mut_00001,60.0,3.478,50,3.616,0.072,3.426,3.77,141.8
mut_00001,60.0,3.591,50,3.735,0.093,3.526,3.906,106.3
mut_00001,60.0,3.6,50,3.742,0.096,3.503,4.027,91.3
mut_00001,60.0,3.667,50,3.794,0.087,3.602,4.043,103.4
mut_00001,60.0,3.704,50,3.833,0.079,3.624,3.988,114.7
mut_00001,60.0,3.733,50,3.856,0.082,3.69,4.102,115.3
mut_00001,60.0,3.8,50,3.944,0.078,3.792,4.104,108.9
mut_00001,60.0,3.817,50,3.921,0.101,3.662,4.14,126.4
mut_00001,60.0,3.867,50,3.944,0.084,3.803,4.162,122.5
mut_00001,60.0,3.93,50,4.026,0.106,3.761,4.237,105.4
mut_00001,60.0,4.0,50,4.142,0.083,3.962,4.364,104.0
mut_00001,60.0,4.043,50,4.155,0.091,3.95,4.331,98.1
mut_00001,60.0,4.067,50,4.212,0.089,3.957,4.392,119.3
mut_00001,60.0,4.133,50,4.246,0.1,4.064,4.469,101.7
mut_00001,60.0,4.157,50,4.318,0.089,4.078,4.52,90.2
mut_00001,60.0,4.2,50,4.283,0.098,4.034,4.558,99.3
mut_00001,60.0,4.27,50,4.367,0.091,4.087,4.577,97.8
mut_00001,60.0,4.333,50,4.381,0.097,4.176,4.648,101.6
mut_00001,60.0,4.383,50,4.513,0.101,4.278,4.754,96.6
mut_00001,60.0,4.4,50,4.495,0.109,4.219,4.713,116.9
mut_00001,60.0,4.467,50,4.536,0.094,4.342,4.705,93.5
mut_00001,60.0,4.496,50,4.653,0.095,4.426,4.855,94.8
mut_00001,60.0,4.533,50,4.63,0.097,4.435,4.897,112.4
mut_00001,60.0,4.6,50,4.637,0.093,4.481,4.867,94.7
mut_00001,60.0,4.609,50,4.686,0.109,4.459,4.978,77.1
mut_00001,60.0,4.722,50,4.55,0.073,4.402,4.682,133.5
mut_00001,60.0,4.835,50,4.65,0.074,4.456,4.792,127.2
mut_00001,60.0,4.948,50,5.071,0.095,4.873,5.277,92.3
mut_00001,60.0,5.061,50,5.044,0.095,4.843,5.26,142.1
mut_00001,60.0,5.174,50,5.239,0.091,4.973,5.431,99.1
mut_00001,60.0,5.287,50,5.134,0.217,4.808,5.48,136.5
mut_00001,60.0,5.4,50,5.478,0.165,4.862,5.784,122.7
